TA ID 	advisor
10001	20001
10002	20007	
10003	20006	
10004	20002			
10005	20007		
10006	20011		
10007	20006
10008	20001		
10009	20003		
10010	20002		
10011	20008
10012	20003									
10013	20006									
10014	20012		
10015	20007				
10016	20009				
10017	20007									
10018	20004				
10019	20011
10020	20007						
10021	20011									
10022	20001				
10023	20008			
10024	20008	
10025	20005					
10026	20008				
10027	20003									
10028	20005									
10029	20012		
10030	20004			
10031	20003		
10032	20004									
10033	20005
10034	20005				
10035	20009			
10036	20010		
10037	20008									
10038	20011			
10039	20008
10040	20007									
10041	20001			
10042	20010									
10043	20012		
10044	20010			
10045	20009									
10046	20011	
10047	20009						
10048	20002					
10049	20001									
10050	20012
10051	20004
