TA ID 	1	2	3	4	5	6	7	8	9	10
10001	106	200	303	301	132	304	202	130	306	491
10002	202	130	302	132	303	106	304	306	416	
10003	303	106	341	200	304	306	491		130	
10004	491	202	416	421	106	434				
10005	341	106	434	303			491			
10006	302	301	106	132	303	421	200			
10007									106	
10008	421	132	303	130	301	106	306			
10009	434	303	302	306	304	106	416			
10010	491	130	202	106	132	302	304			
10011	200	303	416							106
10012										
10013										
10014	341	421	434	416			106			
10015	202	132	301	302	304	341				
10016	200	130	303	304	306					
10017										
10018	301	132	200	304	341	434				
10019									106	
10020	302	416	301	132						
10021										
10022	304	106	306	303	434					
10023	303	132	200	341	130	202				
10024	491	416	491	132				106		
10025			434		106					
10026	132	202	200	130	301	303				
10027										
10028										
10029	302	304	200	303	306	202	130			
10030	132	200	106	301	302	491				
10031	434	341	303	421	200	130	202			
10032										
10033										106
10034	130	202	302	132	421	434				
10035							106			
10036	304	200	132	130	302	303	434			
10037										
10038	341	306	421	434	491	106				
10039	302	304	303	416	491				130	
10040										
10041	130	132	301	106	200	304				
10042										
10043	306	491	302	303	202	106	434			
10044	106	202	416	491	301	304				
10045										
10046	302	421	301	303	304	434	200	106		
10047	416	132	434	421						
10048	306	130	302	416						
10049										
10050	132	341	302	303	130	202	200	416	421	491
10051	303	106	302	301	202	132	304	306	130	434
